订单号,产品类别,销售数量,单价,销售额
6883845774,家居用品,3,399,1197
5854549562,家居用品,5,39,195
5863247655,家居用品,10,199,1990
6859580477,食品,10,39,390
6840649197,家居用品,1,399,399
6851255907,服装,9,129,1161
6890368843,食品,9,69,621
6827864891,服装,10,249,2490
5877260638,服装,7,349,2443
5868549939,服装,5,299,1495
5898559914,图书,7,99,693
6844507218,图书,1,29,29
5865877696,食品,10,69,690
5842520913,图书,6,29,174
5837665363,食品,2,199,398
6842226211,服装,8,29,232
5882101133,家居用品,5,39,195
5804771350,服装,6,399,2394
6865964423,家居用品,6,89,534
6853297300,电子产品,6,149,894
6866289139,家居用品,10,59,590
6893190517,图书,10,59,590
6827649901,食品,3,69,207
6866178313,图书,3,29,87
5800711405,服装,10,899,8990
5835405260,食品,4,39,156
5820486804,服装,8,599,4792
5801611195,图书,6,39,234
5843644546,家居用品,4,39,156
5804758861,家居用品,7,99,693
6829603383,图书,8,99,792
6861767353,食品,6,39,234
6840652306,食品,2,69,138
5811563987,服装,5,89,445
5877681820,食品,9,59,531
5840695758,电子产品,9,89,801
6876178268,家居用品,1,399,399
6875099532,食品,1,39,39
5853993989,电子产品,4,399,1596
6873810446,电子产品,5,89,445
5847996426,电子产品,1,149,149
5860412339,服装,7,399,2793
5844666211,食品,10,49,490
5874662900,家居用品,8,39,312
5848978716,家居用品,4,199,796
6801244969,服装,8,299,2392
6893385891,图书,10,69,690
6814840827,图书,10,39,390
5841243581,图书,2,89,178
6848472509,食品,1,59,59
6848495241,服装,7,29,203
6837249911,家居用品,3,99,297
5823687360,食品,4,199,796
5843812598,电子产品,8,399,3192
5867305556,食品,3,69,207
6836237383,图书,8,79,632
6805794666,家居用品,3,59,177
5889897144,电子产品,5,299,1495
6835452753,食品,2,69,138
5863520484,图书,7,79,553
5855860680,食品,7,89,623
5898796372,家居用品,10,79,790
5825695022,图书,9,59,531
6887103041,家居用品,5,199,995
6815308822,家居用品,5,89,445
6890836887,服装,8,149,1192
5807842750,服装,6,149,894
5862231814,服装,6,399,2394
5877750266,图书,1,59,59
6869062683,电子产品,1,249,249
6845708709,服装,7,299,2093
6879395963,图书,4,59,236
6809488145,电子产品,6,149,894
6881691632,家居用品,10,39,390
5852186744,电子产品,2,199,398
6870828210,服装,8,89,712
5860722276,服装,6,599,3594
5887473055,图书,10,49,490
5808511756,食品,2,79,158
5811169466,服装,4,129,516
6876456690,食品,7,39,273
6842608338,食品,5,89,445
